Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;"Комплект постельного белья";;;Экзотика;Россия;;Э-С5-22-Фея*;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Сатин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925514031;;;;;;"Фея* КПБ Евро сп сатин ""Экзотика """;1;1888;http://alvitek.com.ru/upload/iblock/312/312f4269c8bd0b29ff98152ee9724068.jpeg;
;"Комплект постельного белья";;;Экзотика;Россия;;Э-С5-семья-Лютик;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Сатин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000900109566;;;;;;"Лютик КПБ Семья сп сатин ""Экзотика """;2;2296;http://alvitek.com.ru/upload/iblock/8d6/8d66e142b57eccbd887ba83a20b7999b.jpeg;
;"Комплект постельного белья";;;Экзотика;Россия;;Э-С5-семья-Шарм;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Сатин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000900092714;;;;;;"Шарм КПБ Семья сп сатин ""Экзотика """;1;2296;http://alvitek.com.ru/upload/iblock/5a3/5a33a9f6214e731b650bbaa194061435.jpeg;
;"Комплект постельного белья";;;Экзотика;Россия;;Э-С5-семья-Суматра;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Сатин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000888597720;;;;;;"Суматра КПБ Семья сп сатин ""Экзотика """;1;2296;http://alvitek.com.ru/upload/iblock/c88/c883b2543af63cdb73654233fa322292.jpeg;
;Подушка;Бамбук;0,75кг;"AlViTek (АльВиТек)";Россия;Стандарт;ПСБ-4060;40х60;;"Средняя-универсальная (молния)";;;;;;;"Бамбуковое волокно,пэ";"Искуственный ""Лебяжий пух""";;"150 гр/кв.м";"0,55 кг";Перкаль;"100% хлопок";Молния;;;;"Многоигольная машина";"Кант атласный";Пакет;;;;;4607048006535;;Салатовый;;;;"ПСБ-04060 Подушка ""Бамбук"" 40х60";23;341;http://alvitek.com.ru/upload/iblock/ae1/ae147f702d6de006e9749b8f1d9ddc67.jpeg;"подушка: стеганный чехол с молнией (наполнитель бамбуково волокно 150 г/кв.м, ткань 100% хлопок - сатин или перкаль), наполнитель ""Лебяжий пух"" (0,55 кг высокосиликонизированное микроволокно), кант атласный, бирка, в пакете"
;Подушка;Бамбук;1,15кг;"AlViTek (АльВиТек)";Россия;Стандарт;ПСБ-050;50х68;;"Средняя-универсальная (молния)";;;;;;;"Бамбуковое волокно,пэ";"Искуственный ""Лебяжий пух""";;"150 гр/кв.м";"0,8 кг";Перкаль;"100% хлопок";Молния;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048000052;;Салатовый;;;;"ПСБ-050 Подушка ""Бамбук"" 50х68";70;543;http://alvitek.com.ru/upload/iblock/c0f/c0f2c25a20b3f10cd04e8f052ac65a99.jpeg;"подушка: стеганный чехол с молнией (наполнитель бамбуково волокно 150 г/кв.м, ткань 100% хлопок - сатин или перкаль), наполнитель ""Лебяжий пух"" (0,8 кг высокосиликонизированное микроволокно), кант атласный, уголок, флажок, бирка, постер в чемодане"
;Подушка;Бамбук;0,75кг;"AlViTek (АльВиТек)";Россия;Стандарт;ПСБ-05050;50х50;;"Средняя-универсальная (молния)";;;;;;;"Бамбуковое волокно,пэ";"Искуственный ""Лебяжий пух""";;"150 гр/кв.м";"0,55 кг";Перкаль;"100% хлопок";Молния;;;;"Многоигольная машина";"Кант атласный";Пакет;;;;;4607048006542;;Салатовый;;;;"ПСБ-05050 Подушка ""Бамбук"" 50х50";9;350;http://alvitek.com.ru/upload/iblock/843/84384873dceef65b19fc0a99cbd13fed.jpeg;"подушка: стеганный чехол с молнией (наполнитель бамбуково волокно 150 г/кв.м, ткань 100% хлопок - сатин или перкаль), наполнитель ""Лебяжий пух"" (0,55 кг высокосиликонизированное микроволокно), кант атласный, бирка, в пакете"
;Подушка;Бамбук;1,5кг;"AlViTek (АльВиТек)";Россия;Стандарт;ПСБ-070;68х68;;"Средняя-универсальная (молния)";;;;;;;"Бамбуковое волокно,пэ";"Искуственный ""Лебяжий пух""";;"150 гр/кв.м";"1 кг";Перкаль;"100% хлопок";Молния;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048000045;;Салатовый;;;;"ПСБ-070 Подушка ""Бамбук"" 68х68";61;649;http://alvitek.com.ru/upload/iblock/6c5/6c5bab76e2316c03ec62160dcb41490c.jpeg;"подушка: стеганный чехол с молнией (наполнитель бамбуково волокно 150 г/кв.м, ткань 100% хлопок - сатин или перкаль), наполнитель ""Лебяжий пух"" ( 1 кг высокосиликонизированное микроволокно), кант атласный, уголок, флажок, бирка, постер, в чемодане"
;Плед;Эльф;;Vladi;Украина;;"Э-140- 02-07";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000884289087;;;;;"70% овечья шерсть+30% ПЭ";"02-07 Бел/красн/черн  140х200 Эльф плед новозеланд. шерсть";2;1093;http://alvitek.com.ru/upload/iblock/9a9/9a97efc43b87e5f31e3e0b2a2f4f1744.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 02-04";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000863387995;;;;;"70% овечья шерсть+30% ПЭ";"02-04 Бел/лил/слив  140х200 Эльф плед новозеланд. шерсть";4;1093;http://alvitek.com.ru/upload/iblock/de9/de969b491d23b9c7e8f616fbe5dd7422.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 05-01";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000863387964;;;;;"70% овечья шерсть+30% ПЭ";"05-01 Бел/беж/кор  140х200 Эльф плед новозеланд. шерсть";3;1093;http://alvitek.com.ru/upload/iblock/873/873dbf801fea5cfccab7a53579c378ff.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 04-01";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000863387971;;;;;"70% овечья шерсть+30% ПЭ";"04-01 Бел/беж/сер  140х200 Эльф плед новозеланд. шерсть";5;1093;http://alvitek.com.ru/upload/iblock/b0a/b0a452b82775befaf0970e6fa147de2a.jpeg;
;Плед;Эльф;;Vladi;Украина;;Э-140-06-01;140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289759;;;;;"70% овечья шерсть+30% ПЭ";"06-01 Сер.гол/т.сер/бел.красн 140х200 Эльф плед новозеланд. шерсть";7;1093;http://alvitek.com.ru/upload/iblock/6d8/6d8feed91db0be28f65ccb8641e8115c.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 01-04";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000884289094;;;;;"70% овечья шерсть+30% ПЭ";"01-04 Бел/лил/слив  140х200 Эльф плед новозеланд. шерсть";3;1093;http://alvitek.com.ru/upload/iblock/5e9/5e9a89074d18d0852104aa7b4f605c51.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 03-01";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289513;;;;;"70% овечья шерсть+30% ПЭ";"03-01 Бел/беж/кор  140х200 Эльф плед новозеланд. шерсть";22;1093;http://alvitek.com.ru/upload/iblock/22a/22a6ecbb40ecc3500c1b3f78613fb264.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 02-98";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000900113099;;;;;"70% овечья шерсть+30% ПЭ";"02-98 Бел/тер/кор  140х200 Эльф плед новозеланд. шерсть";12;1093;http://alvitek.com.ru/upload/iblock/777/777d7bda245001a90df44b97b66d5630.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 05-02";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000863387988;;;;;"70% овечья шерсть+30% ПЭ";"05-02 Бел/беж/тер 140х200 Эльф плед новозеланд. шерсть";28;1093;http://alvitek.com.ru/upload/iblock/8a8/8a89e5af076d049d95af5d6e1e7e9b4e.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 05-03";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000868190385;;;;;"70% овечья шерсть+30% ПЭ";"05-03 Бел/тер/кор 140х200 Эльф плед новозеланд. шерсть";2;1093;http://alvitek.com.ru/upload/iblock/1aa/1aa31d2509992937a36aa76a649c7bb5.jpeg;
;Плед;Эльф;;Vladi;Украина;;Э-140-07-01;140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000861387300;;;;;"70% овечья шерсть+30% ПЭ";"07-01 Бел/беж/кор /оранж 140х200 Эльф плед новозеланд. шерсть";2;1093;http://alvitek.com.ru/upload/iblock/7ce/7ced526fef2f60359551b1a0ddc7a7ce.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-140- 08-01";140х200;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877289995;;;;;"70% овечья шерсть+30% ПЭ";"08-01 Бел/беж/кор  140х200 Эльф плед новозеланд. шерсть";12;1093;http://alvitek.com.ru/upload/iblock/2bb/2bbe577ae404618848d1eab1a5ba8bdd.jpeg;
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-99";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000925503776;;;;;"70% овечья шерсть+30% ПЭ";"02-99 Бел/сирень/слива 170х210 Эльф плед новозеланд. шерсть";4;1323;http://alvitek.com.ru/upload/iblock/bf6/bf6012ce4a244b2cd8ddfca07dd339ff.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-08";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000888601762;;;;;"70% овечья шерсть+30% ПЭ";"02-08 Бел/оранж/тер 170х210 Эльф плед новозеланд. шерсть";15;1323;http://alvitek.com.ru/upload/iblock/8ff/8ff84cf2309111cdf86389fde6d92673.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 01-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877291158;;;;;"70% овечья шерсть+30% ПЭ";"01-07 Жел/красн/бордо  170х210 Эльф плед новозеланд. шерсть";15;1323;http://alvitek.com.ru/upload/iblock/89f/89fda93a989b7f8d8f7f540aea43f9a1.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
