Размер;"Категория товара";Коллекция;"Вес изделия в упаковке";Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Ткань низ";Состав;Номенклатура;Количество;Цена;Фото;Описание
;Одеяло;Гостиница;;"AlViTek (АльВиТек)";Россия;Стандарт;ОГП-О-15;140х205;Средняя;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;"Многоигольная машина";Бейка;Пакет;;;;;4607048007822;;Белый;;;;"ОГП-О-15 Одеяло ""Гостиница"" 140х205 (мин.10шт)";1;797;http://alvitek.com.ru/upload/iblock/a90/a9040eb2a7cf3a04e21858348c4a678f.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г/кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) , косая бейка, бирка, в пакете"
;Плед;Эльф;;Vladi;Украина;;"Э-170- 02-07";170х210;Легкое;;;;;;;;;;;;;;;;;;;;;"Сумка оригинальная";;;;;2000877290014;;;;;"70% овечья шерсть+30% ПЭ";"02-07 Бел/красн/черн 170х210 Эльф плед новозеланд. шерсть";6;1323;http://alvitek.com.ru/upload/iblock/8b7/8b7cb9580c6d63a9ba086eb3a6d570aa.jpeg;"Плед ""VLADI""  ""Эльф"", шерсть - 100%, в сумке  ПВХ ручкой"
;Подушка;Сахара;1,2кг;"AlViTek (АльВиТек)";Россия;Традиция;ПМВ-070;68х68;;Средняя;;;;;;;"Верблюжья шерсть,пэ";"Искуственный ""Лебяжий пух""";;"100 гр/кв.м";"0,8 кг";Микрофибра;"100%  пэ";;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048008416;;Кремовый;;;;"ПМВ-070 Подушка ""Сахара-Эко"" 68х68";41;445;http://alvitek.com.ru/upload/iblock/020/020bb4106c373ec8d1289eac3bf60fbb.jpeg;"подушка: стеганный чехол (наполнитель верблюжья шерсть 100 г/кв.м, ткань - микрофибра), наполнитель ""Лебяжий пух"" ( 1кг высокосиликонизированное микроволокно), кант атласный, бирка, постер, в сумке"
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-малина";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000900108170;;Бежевый;;;"100% хлопок";"Малина  Байковое жаккард 100х140 100% х/б арт. 57-8ЕТЖ Ермолино одеяло";3;457;http://alvitek.com.ru/upload/iblock/af1/af1371b6359b0cbb09826118d401aa84.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
;"Одеяло байковое";;;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-бирюза";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000900108163;;Бежевый;;;"100% хлопок";"Бирюза  Байковое жаккард 100х140 100% х/б арт. 57-8ЕТЖ Ермолино одеяло";1;457;http://alvitek.com.ru/upload/iblock/3df/3dfb66ca75894c35645f22198285e934.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
;Покрывало;;;Марианна;Россия;;"П-ло 150- Элит-006";150х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103021;;;;;;"006  150х220 Элит Однотонное комбинированное ультрастеп Покрывало  Марианна";1;380;http://alvitek.com.ru/upload/iblock/61b/61b441808fa461cfe12a78c2d44dec7c.jpeg;
;Покрывало;;;Марианна;Россия;;"П-ло 200- Элит-006";200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103045;;;;;;"006  200х220 Элит Однотонное комбинированное ультрастеп Покрывало  Марианна";4;437;http://alvitek.com.ru/upload/iblock/7c7/7c79acd26df6da9280481860c547304a.jpeg;
;Покрывало;;;Марианна;Россия;;"П-ло 200- Элит-007";200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103052;;;;;;"007  200х220 Элит Однотонное комбинированное ультрастеп Покрывало  Марианна";2;437;http://alvitek.com.ru/upload/iblock/8a8/8a8596c9470fd10e7213762238269c3d.jpeg;
;Покрывало;;;Марианна;Россия;;"П-ло 200- Элит-010";200х220;;;;;;;;;;;;;;Полисатин;"100%  пэ";;;;;Ультрастеп;;"Сумка оригинальная";;;;;2000900103069;;;;;;"010  200х220 Элит Однотонное комбинированное ультрастеп Покрывало  Марианна";1;437;http://alvitek.com.ru/upload/iblock/618/61854633171a12a965c90572e4f6595d.jpeg;
;"Комплект постельного белья";;;СайлиД;Китай;;В-22-141;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000785581044;;;;;;"B-141 КПБ евро сатин ""САЙЛИД""";1;2724;http://alvitek.com.ru/upload/iblock/15c/15cc5fdbd7317828f31ce40efcfa9596.jpeg;
